timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
27516000,1310988,1310988,1310996,1311004,0,0.0015310331,0.00041249156,0.0013141966,0.0,1310988,1310988,1310996,1311004,0,0.0004101794,0.00023123926,0.00018242525,0.0,1,1,1,0,1,1,1,0
27716000,1310988,1310988,1310996,1311004,0,0.0005840266,0.0014234523,0.0013109272,0.0,1310988,1310988,1310996,1311004,0,0.00023065349,0.000112864785,0.000119451215,0.0,1,1,1,0,1,1,1,0
27916000,1310988,1310988,1310996,1311004,0,0.001839446,0.0010454194,0.0023225914,0.0,1310988,1310988,1310996,1311004,0,0.00023098857,0.0001469084,0.00012783025,0.0,1,1,1,0,1,1,1,0
28116000,1310988,1310988,1310996,1311004,0,0.0025632253,0.0032882865,0.0009378225,0.0,1310988,1310988,1310996,1311004,0,0.00031775248,0.0001222555,0.00021177006,0.0,1,1,1,0,1,1,1,0
28316000,1310988,1310988,1310996,1311004,0,0.0019183718,0.00057268067,0.0015801418,0.0,1310988,1310988,1310996,1311004,0,0.00043853078,0.00021616722,0.00022838857,0.0,1,1,1,0,1,1,1,0
28512000,1310988,1310988,1310996,1311004,0,0.0009984155,0.00089099124,0.00061424036,0.0,1310988,1310988,1310996,1311004,0,0.00025396876,0.0001262285,0.00013911868,0.0,1,1,1,0,1,1,1,0
28712000,1310988,1310988,1310996,1311004,0,0.0018228816,0.0016837051,0.003028871,0.0,1310988,1310988,1310996,1311004,0,0.00040232413,0.00021828256,0.00020776052,0.0,1,1,1,0,1,1,1,0
28911000,1310988,1310988,1310996,1311004,0,0.001577912,0.00042286224,0.0017690066,0.0,1310988,1310988,1310996,1311004,0,0.00048725167,0.00025109175,0.00023894441,0.0,1,1,1,0,1,1,1,0
29116000,1310988,1310988,1310996,1311004,0,0.0018718253,0.0007886358,0.0010969136,0.0,1310988,1310988,1310996,1311004,0,0.00023850542,7.3995274e-05,0.00016984288,0.0,1,1,1,0,1,1,1,0
29317000,1310988,1310988,1310996,1311004,0,0.0033856004,0.0025952351,0.0009010882,0.0,1310988,1310988,1310996,1311004,0,0.00027545352,0.00013679152,0.00015200413,0.0,1,1,1,0,1,1,1,0
